Server_Workload(%),Inlet_Temperature(°C),Cooling_Unit_Power_Consumption(kW)
100.0,24.72632281593243,0.98
87.35899263047313,23.08526213531408,0.95
19.31379966079001,16.288791406000026,0.43
41.40667955013878,19.217280242427403,0.61
49.514888570773024,19.991739982875472,0.69
50.2218958956809,19.0734436931662,0.69
36.09672536701581,18.655843599517898,0.5
53.26393548771748,19.47800594347663,0.7
95.95380398837662,24.535217804113127,0.96
57.35860653362174,22.01576264158844,0.74
74.41743772648515,23.013192780224347,0.83
79.66193956492684,21.58475197622977,0.81
71.49806506003111,20.857687597806024,0.76
58.50918952060892,19.693436191156906,0.63
56.861604729097046,20.517227620420968,0.66
11.596785795254236,15.759822716480912,0.39
48.973248798549946,21.08141035217642,0.71
37.956368537462765,18.113041613250218,0.57
52.64460171251816,19.64880835075109,0.62
80.14384229417854,25.13382452643752,0.94
65.09820499250785,20.008827123942872,0.74
78.57452350485872,21.01990468430066,0.78
46.01620524485563,20.55438615605396,0.57
53.11419148489016,21.28760147721253,0.54
53.374226628207175,19.740405265644743,0.54
87.34452850972994,23.51288053638184,1.02
39.08222064993505,18.4044866228161,0.63
47.34104406963394,19.101767622878057,0.58
100.0,25.00320377126321,1.07
50.21613966463356,20.65313912412499,0.73
59.24129059531276,20.484101380848447,0.73
72.34254358946286,21.726163673280197,0.78
55.02774679989625,21.98198933802384,0.67
98.02169727883091,24.76809193898924,1.01
51.22371351603746,20.31155181450852,0.71
31.80669729136929,19.5991161322174,0.52
76.26188293017742,21.33753516386481,0.89
86.81200759719336,23.615715079904856,0.93
36.60481759864806,19.03220258112168,0.63
37.15485067176146,18.676978983841995,0.53
42.29524011965867,21.07044852104936,0.52
97.98613177882108,24.48129230060648,1.0
41.43212650244492,19.78112638221841,0.7
92.6330834766476,23.84733400572081,1.07
95.83183640591938,24.059424157474226,0.94
43.53736206269637,17.59658975669713,0.66
59.122011372083584,22.07891529018748,0.71
60.87682848949341,23.04477751431274,0.73
50.84214122641582,18.64227351301115,0.68
80.36561011318658,22.466563683969493,0.93
71.88769964096537,22.867178458329228,0.73
70.00810229551678,21.62027396342495,0.83
46.171898578344965,18.40559205093982,0.61
54.02985875905955,18.24296094367165,0.72
35.31128627237122,17.272787849157027,0.49
58.503199054105785,20.460454312526657,0.74
50.97578715326005,20.77925835979041,0.64
51.24800351864205,19.64889653654325,0.73
32.25493003802502,17.695266984915403,0.59
80.08764550398426,22.68848769591988,0.83
69.06651938167364,24.149028184703187,0.78
75.59306264608176,23.087386321056247,0.9
60.52259662113138,24.260161553160884,0.74
44.52551943003013,20.560245909058708,0.49
57.45751050190154,20.521651210809743,0.71
51.75896531842794,20.4243822066697,0.66
93.39746227737682,24.09163262283356,0.89
59.52183542972837,22.42228528984751,0.72
74.344720380736,23.30308626937249,0.87
57.01445594348504,21.54567945598658,0.7
63.756420842488495,20.47669194509693,0.77
92.21696942180397,23.624831691876032,1.0
100.0,26.01628474618568,1.06
52.17819043091508,19.127850251979066,0.68
55.66066993033164,22.26718805574265,0.6
96.58773351961776,24.253834546646704,0.99
77.1335115736534,23.632067293863685,0.9
75.4321458019054,23.92686418298736,0.92
33.023653642514034,20.09867946491961,0.42
62.51182252953773,22.105219843018578,0.71
54.987785324697086,21.05032729425951,0.63
51.93462866271624,19.245448601281687,0.62
51.38772383497864,21.27663868165564,0.65
31.10260688665346,17.186613680443475,0.47
70.12102294529194,21.83156500980132,0.79
38.78123853429844,19.640496052882323,0.6
93.06727492734046,22.725585023737068,0.97
68.88072248982833,23.61410215502429,0.71
45.7619194266534,18.770362224167368,0.63
61.47935930907511,21.671761941740726,0.72
55.187189577746985,20.29115806933137,0.71
53.7187887202298,20.179427911479088,0.63
46.00465494046723,17.728683668164667,0.61
100.0,27.44039963150192,0.99
87.26591032017825,25.7465087647662,0.95
100.0,26.33314550364677,0.95
47.66854533699436,18.462770645614302,0.55
88.78234174320437,23.7216143887558,0.9
66.80376587838845,22.527322032936205,0.74
62.0703685843881,21.03803423049669,0.68
61.83541273267296,21.5905928468884,0.84
46.52220481001922,20.1761626780484,0.58
63.34319807959884,21.49746231276336,0.75
83.31014413105143,23.14722383001636,1.0
42.7888682336994,18.757766031789227,0.58
84.6566317337658,23.28434250126073,0.93
22.348442828737795,17.13725472392113,0.47
52.53604906875093,19.79163807707067,0.68
62.82285158073702,20.275400036612137,0.68
56.70874439933134,20.238015622924262,0.67
77.12554784940937,23.26534267919857,0.82
69.78059880145852,23.279404620807732,0.69
100.0,26.13399476444192,1.07
72.62018147154423,21.62201586827393,0.84
68.4891095418584,20.08174536097767,0.84
57.303922899232575,22.93206171553711,0.77
48.0522204034541,19.384001936340223,0.67
83.31017537901289,23.331648420956878,0.98
82.86544272290121,21.691368999259637,0.93
40.38273845180022,18.61916296704881,0.68
83.01720366573579,22.38866885058127,0.9
72.23287554825242,21.581178631392856,0.75
67.82519314837415,21.37956151774071,0.86
33.43024724923538,17.85533048491829,0.51
41.83222957464025,18.52663257138127,0.52
39.90167121129065,18.6483547303982,0.67
81.33735305743667,23.54600549644505,0.84
59.52276737938893,21.103068412172902,0.63
39.91377627356636,18.612016699096287,0.6
100.0,25.42953942678767,1.01
54.94290771179662,20.12179171656992,0.56
99.59621407933084,25.56072381411192,1.06
41.5329375899865,17.6545691245671,0.61
65.60394404264217,21.91142422990613,0.82
73.77168557777935,22.89061854198916,0.76
47.67647000484282,21.18982023044075,0.57
20.535869402988084,17.732470422131787,0.45
35.34642744077069,18.30291976326084,0.48
90.35307695162982,24.923664117335555,1.05
83.80997313506612,23.579822571467165,0.85
76.03181703894191,21.23699340763229,0.81
14.797219167697293,16.54168924797638,0.39
55.14639702297751,21.99081178308461,0.78
49.33002541446829,19.3207394283516,0.61
81.57015284672758,22.58085689531198,0.94
77.2530795335071,23.646402030984653,0.86
83.22654954224805,23.950242319263975,0.89
81.85180349538285,24.79645814423597,0.91
71.60007720478305,22.310013863514087,0.74
76.50892506214046,22.05962130969145,0.81
40.89672352861739,20.043949609671568,0.62
94.03089234627262,23.368231528612657,1.03
47.99886286869059,17.184815996901,0.54
92.1339362562933,23.789734540606293,1.03
64.00745099624632,22.420145658719708,0.77
86.95974146726707,22.751694721210864,0.94
84.18320251137617,24.455340549239136,0.89
74.47053048147467,22.312721145008933,0.87
78.78169014911722,24.11332181546251,0.83
65.69482937040952,21.62840820760459,0.82
66.9172022367625,20.90836070739625,0.76
76.52313071062184,22.487257880170382,0.85
82.40119574794822,22.92267623655092,1.0
63.46632517607132,20.18775315483608,0.68
72.19878204184006,21.654416602413807,0.89
88.0540705262114,23.615568827664323,0.96
97.52589200914672,23.902695672967425,1.02
90.18650270375883,22.941119047917717,0.99
51.42296948632872,19.21870486163313,0.72
58.23073619218664,21.2226933585938,0.7
36.81830570028365,18.05174007148982,0.57
55.56591199446376,20.43162785383988,0.69
37.5892396656196,17.85157492099882,0.53
95.45768764101147,24.520365248474857,1.02
39.15451000854041,20.080455680354284,0.62
79.59508799143025,22.15757932704988,0.93
75.67458036777332,22.0303663062597,0.78
60.14016938572976,19.484390688267805,0.65
77.6487134451233,22.027914393190304,0.85
17.89482688496239,16.693880348603038,0.4
71.02604018139378,21.20706569400718,0.86
70.23260655037598,19.89288515604753,0.73
10.0,15.99045573830702,0.37
100.0,25.951837242625466,1.05
